"Series Description","Bank credit, large domestically chartered commercial banks, not seasonally adjusted","Securities in bank credit, large domestically chartered commercial banks, not seasonally adjusted","Treasury and agency securities, large domestically chartered commercial banks, not seasonally adjusted","Treasury and agency securities: Mortgage-backed securities (MBS), large domestically chartered commercial banks, not seasonally adjusted","Treasury and agency securities: Non-MBS, large domestically chartered commercial banks, not seasonally adjusted","Other securities, large domestically chartered commercial banks, not seasonally adjusted","Other securities: Mortgage-backed securities, large domestically chartered commercial banks, not seasonally adjusted","Other securities: Non-MBS, large domestically chartered commercial banks, not seasonally adjusted","Loans and leases in bank credit, large domestically chartered commercial banks, not seasonally adjusted","Commercial and industrial loans, large domestically chartered commercial banks, not seasonally adjusted","Real estate loans, large domestically chartered commercial banks, not seasonally adjusted","Real estate loans: Residential real estate loans, large domestically chartered commercial banks, not seasonally adjusted","Real estate loans: Residential real estate loans: Revolving home equity loans, large domestically chartered commercial banks, not seasonally adjusted","Real estate loans: Residential real estate loans: Closed-end residential loans, large domestically chartered commercial banks, not seasonally adjusted","Real estate loans: Commercial real estate loans, large domestically chartered commercial banks, not seasonally adjusted","Real estate loans: Commercial real estate loans: Construction and land development loans, large domestically chartered commercial banks, not seasonally adjusted","Real estate loans: Commercial real estate loans: Secured by farmland, large domestically chartered commercial banks, not seasonally adjusted","Real estate loans: Commercial real estate loans: Secured by multifamily properties, large domestically chartered commercial banks, not seasonally adjusted","Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties, large domestically chartered commercial banks, not seasonally adjusted","Consumer loans, large domestically chartered commercial banks, not seasonally adjusted","Consumer loans: Credit cards and other revolving plans, large domestically chartered commercial banks, not seasonally adjusted","Consumer loans: Other consumer loans, large domestically chartered commercial banks, not seasonally adjusted","Consumer loans: Other consumer loans: Automobile loans, large domestically chartered commercial banks, not seasonally adjusted","Consumer loans: Other consumer loans: All other consumer loans, large domestically chartered commercial banks, not seasonally adjusted","Other loans and leases: All other loans and leases, large domestically chartered commercial banks, not seasonally adjusted","Other loans and leases: All other loans and leases: Loans to nondepository financial institutions, large domestically chartered commercial banks, not seasonally adjusted","Other loans and leases: All other loans and leases: Other loans not elsewhere classified, large domestically chartered commercial banks, not seasonally adjusted","LESS: Allowance for loan and lease losses, large domestically chartered commercial banks, not seasonally adjusted","Cash assets, large domestically chartered commercial banks, not seasonally adjusted","Total fed funds sold and securities purchased under agreements to resell, large domestically chartered commercial banks, not seasonally adjusted","Loans to commercial banks, large domestically chartered commercial banks, not seasonally adjusted","Other assets, large domestically chartered commercial banks, not seasonally adjusted","Total assets, large domestically chartered commercial banks, not seasonally adjusted","Deposits, large domestically chartered commercial banks, not seasonally adjusted","Large time deposits, large domestically chartered commercial banks, not seasonally adjusted","Other deposits, large domestically chartered commercial banks, not seasonally adjusted","Borrowings, large domestically chartered commercial banks, not seasonally adjusted","Net due to related foreign offices, large domestically chartered commercial banks, not seasonally adjusted","Other liabilities, large domestically chartered commercial banks, not seasonally adjusted","Total liabilities, large domestically chartered commercial banks, not seasonally adjusted","Residual (assets less liabilities), large domestically chartered commercial banks, not seasonally adjusted"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier:","H8/H8/B1001NLGD","H8/H8/B1002NLGD","H8/H8/B1003NLGD","H8/H8/B1301NLGD","H8/H8/B1302NLGD","H8/H8/B1011NLGD","H8/H8/B1303NLGD","H8/H8/B1304NLGD","H8/H8/B1020NLGD","H8/H8/B1023NLGD","H8/H8/B1026NLGD","H8/H8/B1221NLGD","H8/H8/B1027NLGD","H8/H8/B1220NLGD","H8/H8/B3219NLGD","H8/H8/B1215NLGD","H8/H8/B1216NLGD","H8/H8/B1217NLGD","H8/H8/B1218NLGD","H8/H8/B1029NLGD","H8/H8/B1247NLGD","H8/H8/B3248NLGD","H8/H8/B1243NLGD","H8/H8/B1245NLGD","H8/H8/B3305NLGD","H8/H8/B1030NLGD","H8/H8/B1310NLGD","H8/H8/B1043NLGD","H8/H8/B1048NLGD","H8/H8/B3092NLGD","H8/H8/B1047NLGD","H8/H8/B3053NLGD","H8/H8/B1151NLGD","H8/H8/B1058NLGD","H8/H8/B1072NLGD","H8/H8/B1110NLGD","H8/H8/B3094NLGD","H8/H8/B1100NLGD","H8/H8/B3095NLGD","H8/H8/B1152NLGD","H8/H8/B1091NLGD"
"Time Period","B1001NLGD","B1002NLGD","B1003NLGD","B1301NLGD","B1302NLGD","B1011NLGD","B1303NLGD","B1304NLGD","B1020NLGD","B1023NLGD","B1026NLGD","B1221NLGD","B1027NLGD","B1220NLGD","B3219NLGD","B1215NLGD","B1216NLGD","B1217NLGD","B1218NLGD","B1029NLGD","B1247NLGD","B3248NLGD","B1243NLGD","B1245NLGD","B3305NLGD","B1030NLGD","B1310NLGD","B1043NLGD","B1048NLGD","B3092NLGD","B1047NLGD","B3053NLGD","B1151NLGD","B1058NLGD","B1072NLGD","B1110NLGD","B3094NLGD","B1100NLGD","B3095NLGD","B1152NLGD","B1091NLGD"
1985-04-03,1300746.4,241279.4,148614.4,,,92665.0,,,1059467.0,367458.0,300886.9,,,,,,,,,247835.0,,,,,143287.0,,,17084.6,170835.9,,20470.0,128023.3,1718378.6,1290144.3,215553.6,1074590.6,213506.2,,88629.5,1564116.8,154261.8
1985-04-10,1297365.6,240207.5,147523.4,,,92684.1,,,1057158.1,365769.6,301661.4,,,,,,,,,248499.5,,,,,141227.8,,,17148.8,169035.6,,20016.0,125141.1,1712480.2,1284576.2,214498.1,1070078.2,214328.0,,86301.3,1558833.0,153647.2
1985-04-17,1307558.8,244244.0,148857.9,,,95386.1,,,1063314.9,366625.3,302288.4,,,,,,,,,250129.2,,,,,144272.0,,,17202.6,176401.9,,20553.0,125359.4,1723564.7,1290212.0,214165.2,1076046.7,219937.4,,82102.6,1563922.9,159641.8
1985-04-24,1305673.4,243191.3,147936.2,,,95255.1,,,1062482.1,365717.1,303173.1,,,,,,,,,251396.1,,,,,142195.7,,,17237.6,165193.0,,21447.8,122342.0,1701747.4,1270656.8,213559.8,1057097.0,222260.3,,83456.9,1550053.0,151694.4
1985-05-01,1310882.4,241216.1,146087.0,,,95129.1,,,1069666.3,367101.5,303822.4,,,,,,,,,252411.1,,,,,146331.3,,,17372.4,186268.6,,22390.2,125959.5,1738313.0,1295947.8,213088.3,1082859.5,227394.5,,88688.6,1586935.0,151378.0
